"";"Sp1.TL1";"Sp2.TL1";"Sp3.TL1";"Sp4.TL1";"Sp5.TL1";"Sp6.TL1";"Sp7.TL1";"Sp8.TL1";"Sp9.TL1";"Sp10.TL1";"Sp11.TL1";"Sp12.TL2";"Sp13.TL2";"Sp14.TL2";"Sp15.TL2";"Sp16.TL2";"Sp17.TL2";"Sp18.TL3";"Sp19.TL3";"Sp20.TL3"
"Sp1.TL1";-1;0;0;0;0;0;0;0;0;0;0;0;4,60730503117042;0;6,5090120935359;0;0;0;2,79539928856846;0,2124192769556
"Sp2.TL1";0;-1;0;0;0;0;0;0;0;0;0;0;0;1,41567856642181;0;4,02653623634216;0;0;4,75600031084432;1,620099071028
"Sp3.TL1";0;0;-1;0;0;0;0;0;0;0;0;0;1,87562162076939;0;0,715122532620105;0;11,7387160051221;0;0;0
"Sp4.TL1";0;0;0;-1;0;0;0;0;0;0;0;0;0;0;5,27586537384399;0;0;0;0;0
"Sp5.TL1";0;0;0;0;-1;0;0;0;0;0;0;0;0,358481091041545;0;0;0;0;0;0;0
"Sp6.TL1";0;0;0;0;0;-1;0;0;0;0;0;7,28810012913607;0;0;0;0;0;0;0;0
"Sp7.TL1";0;0;0;0;0;0;-1;0;0;0;0;0;4,02150114886035;2,34978602145237;0;8,47346376365784;0;0;0;0
"Sp8.TL1";0;0;0;0;0;0;0;-1;0;0;0;0;0;0,53107455422038;0;0;0;3,30801972684802;0;0
"Sp9.TL1";0;0;0;0;0;0;0;0;-1;0;0;0;0;2,38325316220752;0;0;0;0;0;1,97629520590377
"Sp10.TL1";0;0;0;0;0;0;0;0;0;-1;0;5,21189987086393;1,63709110815829;5,82020769569792;0;0;0;0;0;0
"Sp11.TL1";0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0,76128399487788;0;0;0
"Sp12.TL2";0;0;0;0;0;-7,28810012913607;0;0;0;-5,21189987086393;0;0;0;0;0;0;0;0;2,44860040058722;0
"Sp13.TL2";-4,60730503117042;0;-1,87562162076939;0;-0,358481091041545;0;-4,02150114886035;0;0;-1,63709110815829;0;0;0;0;0;0;0;0;0;0
"Sp14.TL2";0;-1,41567856642181;0;0;0;0;-2,34978602145237;-0,53107455422038;-2,38325316220752;-5,82020769569792;0;0;0;0;0;0;0;0;0;0
"Sp15.TL2";-6,5090120935359;0;-0,715122532620105;-5,27586537384399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,50072184393081
"Sp16.TL2";0;-4,02653623634216;0;0;0;0;-8,47346376365784;0;0;0;0;0;0;0;0;0;0;6,69198027315198;0;0
"Sp17.TL2";0;0;-11,7387160051221;0;0;0;0;0;0;0;-0,76128399487788;0;0;0;0;0;0;0;0;1,69046460218182
"Sp18.TL3";0;0;0;0;0;0;0;-3,30801972684802;0;0;0;0;0;0;0;-6,69198027315198;0;0;0;0
"Sp19.TL3";-2,79539928856846;-4,75600031084432;0;0;0;0;0;0;0;0;0;-2,44860040058722;0;0;0;0;0;0;0;0
"Sp20.TL3";-0,2124192769556;-1,620099071028;0;0;0;0;0;0;-1,97629520590377;0;0;0;0;0;-4,50072184393081;0;-1,69046460218182;0;0;0
